iter	Passed	Remaining
675	13682	6557
676	13710	6541
677	13731	6521
678	13746	6498
679	13762	6476
680	13781	6455
681	13798	6433
682	13818	6413
683	13834	6391
684	13853	6370
685	13870	6348
686	13887	6327
687	13908	6307
688	13923	6284
689	13938	6262
690	13956	6241
691	13974	6219
692	13994	6199
693	14013	6178
694	14031	6157
695	14048	6136
696	14065	6114
697	14083	6093
698	14100	6071
699	14115	6049
700	14139	6031
701	14159	6010
702	14175	5988
703	14197	5969
704	14213	5947
705	14231	5926
706	14248	5905
707	14264	5882
708	14283	5862
709	14299	5840
710	14317	5819
711	14335	5798
712	14354	5778
713	14375	5758
714	14393	5737
715	14412	5716
716	14430	5695
717	14450	5675
718	14469	5654
719	14487	5634
720	14505	5613
721	14527	5593
722	14544	5572
723	14560	5550
724	14581	5530
725	14602	5511
726	14618	5489
727	14635	5468
728	14653	5447
729	14673	5427
730	14693	5407
731	14714	5387
732	14730	5365
733	14749	5345
734	14768	5324
735	14787	5304
736	14806	5283
737	14823	5262
738	14838	5240
739	14861	5221
740	14881	5201
741	14901	5181
742	14921	5161
743	14943	5141
744	14960	5120
745	14977	5099
746	14994	5078
747	15014	5058
748	15032	5037
749	15054	5018
750	15075	4998
751	15092	4977
752	15111	4956
753	15129	4936
754	15147	4915
755	15167	4895
756	15184	4874
757	15200	4852
758	15218	4832
759	15237	4811
760	15255	4791
761	15273	4770
762	15291	4749
763	15309	4728
764	15328	4708
765	15347	4688
766	15364	4667
767	15384	4647
768	15403	4627
769	15423	4607
770	15443	4587
771	15464	4567
772	15483	4546
773	15506	4527
774	15523	4506
775	15543	4486
776	15564	4467
777	15592	4449
778	15618	4430
779	15640	4411
780	15686	4398
781	15732	4385
782	15821	4384
783	15905	4382
784	15959	4371
785	15992	4354
786	16029	4338
787	16064	4321
788	16101	4305
789	16144	4291
790	16189	4277
791	16224	4261
792	16250	4241
793	16271	4221
794	16290	4200
795	16308	4179
796	16327	4158
797	16344	4137
798	16361	4115
799	16377	4094
800	16392	4072
801	16412	4051
802	16430	4030
803	16447	4009
804	16463	3987
805	16483	3967
806	16502	3946
807	16520	3925
808	16537	3904
809	16554	3883
810	16569	3861
811	16586	3840
812	16603	3818
813	16621	3797
814	16636	3776
815	16652	3754
816	16671	3734
817	16688	3713
818	16708	3692
819	16727	3671
820	16749	3651
821	16767	3630
822	16787	3610
823	16805	3589
824	16824	3568
825	16842	3547
826	16859	3526
827	16879	3506
828	16898	3485
829	16914	3464
830	16935	3444
831	16951	3422
832	16968	3401
833	16987	3381
834	17007	3360
835	17027	3340
836	17062	3322
837	17097	3305
838	17126	3286
839	17143	3265
840	17164	3245
841	17183	3224
842	17201	3203
843	17226	3183
844	17246	3163
845	17260	3141
846	17276	3120
847	17293	3099
848	17310	3078
849	17327	3057
850	17346	3037
851	17364	3016
852	17384	2995
853	17404	2975
854	17420	2954
855	17437	2933
856	17454	2912
857	17472	2891
858	17492	2871
859	17508	2850
860	17527	2829
861	17545	2808
862	17562	2788
863	17581	2767
864	17600	2746
865	17615	2725
866	17632	2704
867	17651	2684
868	17670	2663
869	17685	2642
870	17703	2622
871	17722	2601
872	17738	2580
873	17757	2559
874	17773	2539
875	17788	2518
876	17806	2497
877	17822	2476
878	17841	2455
879	17858	2435
880	17877	2414
881	17893	2393
882	17913	2373
883	17930	2352
884	17949	2332
885	17966	2311
886	17986	2291
887	18008	2271
888	18029	2251
889	18046	2230
890	18064	2209
891	18079	2189
892	18097	2168
893	18113	2147
894	18132	2127
895	18150	2106
896	18171	2086
897	18188	2066
898	18205	2045
899	18223	2024
900	18239	2004
901	18255	1983
902	18273	1962
903	18289	1942
904	18310	1922
905	18329	1901
906	18347	1881
907	18365	1860
908	18381	1840
909	18398	1819
910	18414	1798
911	18435	1778
912	18453	1758
913	18472	1738
914	18492	1717
915	18512	1697
916	18532	1677
917	18549	1656
918	18570	1636
919	18588	1616
920	18606	1596
921	18625	1575
922	18644	1555
923	18664	1535
924	18680	1514
925	18697	1494
926	18715	1473
927	18734	1453
928	18753	1433
929	18771	1412
930	18788	1392
931	18806	1372
932	18823	1351
933	18841	1331
934	18856	1310
935	18874	1290
936	18892	1270
937	18908	1249
938	18926	1229
939	18944	1209
940	18960	1188
941	18979	1168
942	18998	1148
943	19016	1128
944	19034	1107
945	19052	1087
946	19070	1067
947	19088	1047
948	19108	1026
949	19127	1006
950	19147	986
951	19167	966
952	19187	946
953	19207	926
954	19224	905
955	19242	885
956	19262	865
957	19280	845
958	19298	825
959	19316	804
960	19336	784
961	19352	764
962	19371	744
963	19389	724
964	19409	703
965	19426	683
966	19443	663
967	19460	643
968	19479	623
969	19498	603
970	19514	582
971	19537	562
972	19556	542
973	19598	523
974	19626	503
975	19646	483
976	19665	462
977	19682	442
978	19702	422
979	19722	402
980	19740	382
981	19758	362
982	19777	342
983	19795	321
984	19815	301
985	19832	281
986	19851	261
987	19870	241
988	19889	221
989	19908	201
990	19925	180
991	19945	160
992	19963	140
993	19981	120
994	19999	100
995	20019	80
996	20039	60
997	20059	40
998	20075	20
999	20099	0
