iter	Passed	Remaining
549	5591	4574
550	5602	4565
551	5612	4554
552	5623	4545
553	5632	4534
554	5644	4525
555	5654	4515
556	5665	4505
557	5674	4494
558	5684	4484
559	5693	4473
560	5702	4462
561	5711	4451
562	5719	4439
563	5728	4428
564	5738	4418
565	5749	4408
566	5759	4398
567	5768	4387
568	5779	4378
569	5790	4368
570	5800	4358
571	5812	4349
572	5825	4340
573	5834	4329
574	5843	4319
575	5853	4308
576	5862	4297
577	5871	4286
578	5882	4277
579	5894	4268
580	5903	4257
581	5913	4246
582	5923	4236
583	5932	4226
584	5942	4215
585	5952	4205
586	5962	4194
587	5973	4185
588	5983	4175
589	5994	4165
590	6002	4154
591	6013	4144
592	6024	4134
593	6034	4124
594	6044	4114
595	6054	4104
596	6063	4093
597	6073	4083
598	6084	4073
599	6095	4063
600	6106	4054
601	6117	4044
602	6127	4034
603	6137	4024
604	6147	4013
605	6157	4003
606	6168	3993
607	6178	3983
608	6187	3972
609	6196	3961
610	6205	3950
611	6216	3941
612	6226	3930
613	6236	3920
614	6247	3910
615	6259	3901
616	6269	3891
617	6278	3880
618	6288	3870
619	6298	3860
620	6306	3848
621	6315	3837
622	6326	3828
623	6335	3817
624	6344	3806
625	6354	3796
626	6363	3785
627	6373	3775
628	6385	3766
629	6396	3756
630	6405	3745
631	6415	3735
632	6425	3725
633	6435	3715
634	6444	3704
635	6453	3693
636	6465	3684
637	6475	3674
638	6485	3663
639	6494	3652
640	6504	3642
641	6513	3632
642	6522	3621
643	6531	3610
644	6540	3599
645	6551	3590
646	6562	3580
647	6572	3570
648	6583	3560
649	6593	3550
650	6602	3539
651	6612	3529
652	6623	3519
653	6634	3510
654	6644	3499
655	6655	3489
656	6665	3479
657	6675	3469
658	6687	3460
659	6698	3450
660	6707	3440
661	6718	3430
662	6728	3420
663	6737	3409
664	6746	3398
665	6756	3388
666	6767	3378
667	6777	3368
668	6786	3357
669	6797	3347
670	6805	3337
671	6817	3327
672	6827	3317
673	6836	3306
674	6847	3296
675	6857	3286
676	6867	3276
677	6878	3266
678	6886	3255
679	6896	3245
680	6906	3235
681	6915	3224
682	6924	3213
683	6933	3203
684	6944	3193
685	6953	3182
686	6963	3172
687	6975	3163
688	6984	3152
689	6992	3141
690	7003	3131
691	7012	3121
692	7023	3111
693	7033	3101
694	7044	3091
695	7053	3081
696	7063	3070
697	7073	3060
698	7083	3050
699	7092	3039
700	7103	3029
701	7114	3020
702	7126	3010
703	7137	3000
704	7146	2990
705	7156	2980
706	7165	2969
707	7174	2958
708	7183	2948
709	7193	2938
710	7203	2928
711	7212	2917
712	7223	2907
713	7234	2897
714	7244	2887
715	7254	2877
716	7264	2867
717	7276	2858
718	7286	2847
719	7296	2837
720	7304	2826
721	7316	2817
722	7325	2806
723	7334	2795
724	7345	2786
725	7355	2775
726	7363	2765
727	7373	2755
728	7383	2744
729	7393	2734
730	7403	2724
731	7414	2714
732	7423	2704
733	7432	2693
734	7442	2683
735	7451	2672
736	7461	2662
737	7470	2652
738	7479	2641
739	7490	2631
740	7499	2621
741	7510	2611
742	7521	2601
743	7532	2591
744	7541	2581
745	7551	2571
746	7560	2560
747	7571	2550
748	7579	2540
749	7590	2530
750	7600	2520
751	7610	2509
752	7621	2499
753	7630	2489
754	7640	2479
755	7649	2469
756	7659	2458
757	7668	2448
758	7677	2437
759	7687	2427
760	7695	2416
761	7706	2406
762	7715	2396
763	7724	2386
764	7734	2375
765	7743	2365
766	7753	2355
767	7763	2345
768	7773	2335
769	7782	2324
770	7792	2314
771	7802	2304
772	7813	2294
773	7824	2284
774	7833	2274
775	7843	2264
776	7854	2254
777	7863	2243
778	7873	2233
779	7883	2223
780	7893	2213
781	7902	2203
782	7912	2192
783	7922	2182
784	7932	2172
785	7941	2162
786	7950	2151
787	7960	2141
788	7969	2131
789	7979	2121
790	7989	2111
791	7999	2100
792	8008	2090
793	8018	2080
794	8029	2070
795	8039	2060
796	8049	2050
797	8059	2040
798	8069	2030
799	8078	2019
800	8086	2008
801	8096	1998
802	8106	1988
803	8115	1978
804	8124	1967
805	8134	1957
806	8144	1947
807	8154	1937
808	8164	1927
